2
8 16
0 2 22
0 5 5
0 4 13
1 4 19
1 2 50
1 3 32
2 3 47
2 5 41
2 4 9
2 6 47
3 6 26
3 5 23
3 4 52
4 7 22
4 5 49
5 7 27
18 52
0 5 17
0 3 42
0 4 46
1 5 21
1 2 45
1 4 43
1 3 45
2 7 53
2 4 10
2 3 34
3 5 6
3 7 53
3 8 28
4 6 45
4 8 49
5 10 31
5 9 42
5 8 34
6 8 38
6 7 44
6 10 9
6 9 11
7 11 41
7 9 50
7 12 27
7 8 34
7 10 28
8 11 17
8 10 45
8 9 22
9 10 29
9 11 7
10 15 21
10 11 12
10 12 12
10 13 12
11 15 38
11 12 14
11 16 13
11 13 43
11 14 51
12 14 35
12 16 23
12 13 46
12 15 10
13 16 53
13 17 50
13 15 7
14 15 46
14 16 29
15 17 39
16 17 43
